method,example_index,text_snippet,prediction_prob,discovered_pattern_score,target_pattern_score,target_pattern
RSA_SAE_discriminative,0," Ibuki is a favored character for use in promotional artwork , and has several figurines and action ...",0.9999968215294107,,0,achievements
RSA_SAE_discriminative,1," Meanwhile , Robin is under Ivy 's seductive spell and is rebelling against Batman . Robin goes to m...",0.9999921788385635,,0,achievements
RSA_SAE_discriminative,2, The Parks Canada administration and Rogers Pass Discovery Centre are located at Rogers Pass . The i...,0.99999124936646,,0,achievements
RSA_SAE_discriminative,3," Collectible cards based on the Dragon Ball , Dragon Ball Z , and Dragon Ball GT series have been re...",0.9999903414883361,,0,achievements
RSA_SAE_discriminative,4," WABN has been sold several times , including once to Bristol Broadcasting Company , which owns stat...",0.999986977746184,,0,achievements
RSA_SAE_discriminative,5," The Blackstone Library participates in most Chicago Public Library programs and partnerships , incl...",0.9999867173769135,,0,achievements
RSA_SAE_discriminative,6," Officials coordinated the delivery of food supplies by Australian Army trucks , aircraft , and heli...",0.999980672410151,,0,achievements
RSA_SAE_discriminative,7, Bond tries to trick Blofeld into leaving Switzerland so that MI6 can arrest him without violating S...,0.9999783928751135,,0,achievements
RSA_SAE_discriminative,8, British documents show that the British government was shaken by satyagraha . Nonviolent protest le...,0.9999776004645493,,0,achievements
RSA_SAE_discriminative,9, The Belgian resistance effort was extremely fragmented between various groups and never became a un...,0.9999774531377661,,0,achievements
RSA_SAE_discriminative,10, Captain Archer and the crew are welcomed back to Earth following the successful Xindi mission . As ...,0.9999767900220963,,3,achievements
RSA_SAE_discriminative,11," Throughout the game , visiting certain individuals in towns will activate optional events and side ...",0.999974017730484,,1,achievements
RSA_SAE_discriminative,12, Morgan had his men tap the Union telegraph lines and send conflicting reports about his strength an...,0.9999737867453318,,0,achievements
RSA_SAE_discriminative,13, The Doctor Who Prom was broadcast live on BBC Radio 3 . BBC Radio 3 's recording of the concert cou...,0.9999718038870343,,0,achievements
RSA_SAE_discriminative,14," The march across Asia Minor was long and difficult , and Romanos did not endear himself to his troo...",0.9999701550999402,,0,achievements
RSA_SAE_categorical,0, The estate itself was purchased by the cabinet maker William Hallett who in 1760 built a large vill...,0.9999999977810154,3.0,0,achievements
RSA_SAE_categorical,1, The anime adaptation of Gin Tama has received positive and mixed responses . The humor was noted to...,0.9999999893289574,0.0,1,achievements
RSA_SAE_categorical,2," Throughout the game , visiting certain individuals in towns will activate optional events and side ...",0.9999999831726974,3.0,1,achievements
RSA_SAE_categorical,3," Collectible cards based on the Dragon Ball , Dragon Ball Z , and Dragon Ball GT series have been re...",0.9999999781698681,0.0,0,achievements
RSA_SAE_categorical,4," This Dragon Quest , similar to Dragon Warrior III and Dragon Warrior VII , has a class system . Onc...",0.9999999682894208,1.0,1,achievements
RSA_SAE_categorical,5," A product of the Newcastle United youth system , he spent six years at the club without managing to...",0.9999999604984773,3.0,2,achievements
RSA_SAE_categorical,6," The churchyard has many old tombs and monuments , including writer Mark Lemon 's grave and an elabo...",0.9999999595598869,3.0,0,achievements
RSA_SAE_categorical,7," Agriculture dominates the northern shore , where many plots of land are still owned by the descenda...",0.999999959404258,3.0,0,achievements
RSA_SAE_categorical,8, The sites began to pass into varied private ownership . Lord Thomas Bulkeley bought Beaumaris from ...,0.999999955325626,3.0,0,achievements
RSA_SAE_categorical,9," From Echo Summit down to the Lake Tahoe Basin , the roadway slowly descends the side of a steep hil...",0.9999999465245615,3.0,0,achievements
RSA_SAE_categorical,10," He went on trial with newly relegated Conference Premier side Hereford United in July 2012 , who we...",0.9999999349023585,1.0,0,achievements
RSA_SAE_categorical,11, The trial for heresy was politically motivated . The tribunal was composed entirely of pro @-@ Engl...,0.9999999295090466,1.0,0,achievements
RSA_SAE_categorical,12," The school is a charitable trust governed by twelve foundation and seven nominated governors , the ...",0.9999999291492202,1.0,0,achievements
RSA_SAE_categorical,13," Imagining the creation of an artistic community at Upton , Morris helped develop plans for a second...",0.9999999286624235,3.0,0,achievements
RSA_SAE_categorical,14," The areas on each side of the marina , formerly occupied by the two power stations and chemical pla...",0.9999999269544755,3.0,0,achievements
RSA_raw_discriminative,0, The Restoration of the monarchy in England in 1660 was immediately followed by the reopening of the...,0.9999543440800026,3.0,0,achievements
RSA_raw_discriminative,1," The churchyard has many old tombs and monuments , including writer Mark Lemon 's grave and an elabo...",0.9999279848414613,2.0,0,achievements
RSA_raw_discriminative,2," By early 1799 , the French Directory had become impatient with stalling tactics employed by Austria...",0.9999216360935511,3.0,0,achievements
